rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout_status,rental_id_prev,car_id_prev,checkin_type_prev,state_prev,delay_at_checkout_in_minutes_prev,previous_ended_rental_id_prev,time_delta_with_previous_rental_in_minutes_prev,checkout_status_prev,delay_at_checkin_in_minutes,checkin_status
505000,363965,mobile,canceled,,,,Unknown,,,,,,,,,,
507750,269550,mobile,ended,-81.0,,,In time,,,,,,,,,,
508131,359049,connect,ended,70.0,,,Late,,,,,,,,,,
508865,299063,connect,canceled,,,,Unknown,,,,,,,,,,
511440,313932,mobile,ended,,,,Unknown,,,,,,,,,,
511626,398802,mobile,ended,-203.0,,,In time,,,,,,,,,,
511639,370585,connect,ended,-15.0,563782.0,570.0,In time,563782.0,370585.0,connect,ended,136.0,,,Late,-434.0,In time
512303,371242,mobile,ended,-44.0,,,In time,,,,,,,,,,
512475,322502,mobile,canceled,,,,Unknown,,,,,,,,,,
513434,256528,connect,ended,23.0,,,Late,,,,,,,,,,
513743,330658,mobile,canceled,,,,Unknown,,,,,,,,,,
514161,366037,connect,canceled,,,,Unknown,,,,,,,,,,
514257,402596,mobile,ended,214.0,,,Late,,,,,,,,,,
515147,257466,mobile,ended,15.0,,,Late,,,,,,,,,,
516586,347394,mobile,canceled,,,,Unknown,,,,,,,,,,
518282,364160,connect,ended,-81.0,,,In time,,,,,,,,,,
518366,397217,mobile,ended,-156.0,,,In time,,,,,,,,,,
518895,398816,mobile,ended,66.0,,,Late,,,,,,,,,,
518938,382243,mobile,ended,215.0,,,Late,,,,,,,,,,
519491,312389,mobile,ended,58.0,545639.0,420.0,Late,545639.0,312389.0,mobile,ended,140.0,,,Late,-280.0,In time
519795,383720,connect,ended,-159.0,,,In time,,,,,,,,,,
520095,404496,mobile,ended,-16.0,,,In time,,,,,,,,,,
520285,243659,mobile,canceled,,,,Unknown,,,,,,,,,,
521156,392479,mobile,ended,,537298.0,0.0,Unknown,537298.0,392479.0,mobile,ended,,,,Unknown,,
521352,403184,mobile,ended,-29.0,,,In time,,,,,,,,,,
521482,254172,mobile,canceled,,,,Unknown,,,,,,,,,,
521734,190995,mobile,ended,-251.0,,,In time,,,,,,,,,,
522602,391287,mobile,ended,35.0,,,Late,,,,,,,,,,
522717,335353,mobile,ended,,,,Unknown,,,,,,,,,,
523800,352799,mobile,ended,-345.0,,,In time,,,,,,,,,,
524408,380247,mobile,canceled,,,,Unknown,,,,,,,,,,
524422,298040,mobile,canceled,,,,Unknown,,,,,,,,,,
524806,337859,mobile,ended,-26.0,,,In time,,,,,,,,,,
525044,349751,mobile,ended,,510607.0,60.0,Unknown,510607.0,349751.0,mobile,ended,-113.0,,,In time,,
525817,351617,mobile,ended,22.0,,,Late,,,,,,,,,,
526798,356877,mobile,ended,-15.0,,,In time,,,,,,,,,,
527377,306450,connect,ended,52.0,,,Late,,,,,,,,,,
527569,314220,mobile,ended,-2.0,,,In time,,,,,,,,,,
527627,402562,connect,ended,-1.0,,,In time,,,,,,,,,,
528808,181625,connect,ended,-76.0,557404.0,330.0,In time,557404.0,181625.0,connect,ended,-352.0,554077.0,120.0,In time,,
528974,373328,mobile,canceled,,,,Unknown,,,,,,,,,,
529170,341798,mobile,canceled,,,,Unknown,,,,,,,,,,
529193,374877,mobile,ended,15.0,,,Late,,,,,,,,,,
529288,381098,mobile,canceled,,,,Unknown,,,,,,,,,,
529347,391792,mobile,ended,,,,Unknown,,,,,,,,,,
529458,331480,mobile,ended,,,,Unknown,,,,,,,,,,
529852,363433,mobile,ended,-68.0,,,In time,,,,,,,,,,
530646,259092,mobile,ended,-340.0,,,In time,,,,,,,,,,
530700,221171,mobile,ended,130.0,,,Late,,,,,,,,,,
531158,404169,mobile,ended,29.0,,,Late,,,,,,,,,,
531507,355554,mobile,ended,-4.0,,,In time,,,,,,,,,,
531526,404562,mobile,ended,-160.0,,,In time,,,,,,,,,,
531955,317639,mobile,ended,-30.0,,,In time,,,,,,,,,,
531961,234356,mobile,ended,-47.0,,,In time,,,,,,,,,,
532245,361468,connect,ended,-63.0,,,In time,,,,,,,,,,
532416,275810,mobile,ended,-148.0,,,In time,,,,,,,,,,
532495,378257,mobile,ended,44.0,,,Late,,,,,,,,,,
532802,373061,mobile,ended,-98.0,,,In time,,,,,,,,,,
533294,364052,mobile,ended,-33.0,,,In time,,,,,,,,,,
533303,336902,mobile,ended,-340.0,,,In time,,,,,,,,,,
533380,314456,connect,ended,-167.0,,,In time,,,,,,,,,,
533442,389958,mobile,ended,31.0,,,Late,,,,,,,,,,
533611,388597,mobile,canceled,,,,Unknown,,,,,,,,,,
533670,320824,connect,ended,-6.0,556563.0,630.0,In time,556563.0,320824.0,connect,ended,23.0,,,Late,-607.0,In time
533683,271380,mobile,ended,79.0,,,Late,,,,,,,,,,
533696,408511,mobile,ended,,,,Unknown,,,,,,,,,,
533790,394562,mobile,ended,30.0,,,Late,,,,,,,,,,
534017,370797,mobile,canceled,,,,Unknown,,,,,,,,,,
534091,399459,mobile,canceled,,,,Unknown,,,,,,,,,,
534611,392176,mobile,ended,33.0,,,Late,,,,,,,,,,
534654,303652,mobile,ended,-52.0,,,In time,,,,,,,,,,
534789,395243,mobile,ended,44.0,,,Late,,,,,,,,,,
534820,373893,connect,ended,-576.0,,,In time,,,,,,,,,,
534827,404169,mobile,ended,-7.0,531158.0,90.0,In time,531158.0,404169.0,mobile,ended,29.0,,,Late,-61.0,In time
534882,194379,mobile,canceled,,,,Unknown,,,,,,,,,,
534926,390702,connect,ended,-178.0,,,In time,,,,,,,,,,
534943,358567,connect,ended,37.0,,,Late,,,,,,,,,,
534956,344594,mobile,ended,24.0,,,Late,,,,,,,,,,
535071,358480,mobile,ended,40.0,,,Late,,,,,,,,,,
535116,380364,mobile,ended,137.0,,,Late,,,,,,,,,,
535139,384575,mobile,ended,249.0,,,Late,,,,,,,,,,
535313,396552,mobile,ended,23.0,,,Late,,,,,,,,,,
535331,402083,connect,ended,-108.0,,,In time,,,,,,,,,,
535399,362659,mobile,ended,-6.0,,,In time,,,,,,,,,,
535514,348178,mobile,ended,-150.0,,,In time,,,,,,,,,,
535601,376381,mobile,ended,9.0,,,Late,,,,,,,,,,
535611,397814,mobile,ended,68.0,535512.0,300.0,Late,535512.0,397814.0,mobile,ended,44.0,,,Late,-256.0,In time
535726,375944,connect,ended,38.0,,,Late,,,,,,,,,,
535738,398733,mobile,ended,-1.0,,,In time,,,,,,,,,,
535770,352436,mobile,ended,74.0,524703.0,60.0,Late,524703.0,352436.0,mobile,ended,7.0,538643.0,60.0,Late,-53.0,In time
535821,381583,mobile,ended,-10.0,,,In time,,,,,,,,,,
536108,337311,mobile,ended,-843.0,,,In time,,,,,,,,,,
